Plan name:,AUTOMATION ANYWHERE ,,,
Date Range,08/01/2019 - 03/16/2023,,,
,,,,
,,,,
Date,Investment,Transaction Type,Amount,Shares/Unit
4/1/2020,FID 500 INDEX,Contributions,133.33,1.549
3/17/2020,MM BLUE CHIP GR I,Contributions,326.63,16.563
3/17/2020,J H ENTERPRISE IS,Contributions,326.62,5.314
3/17/2020,FID FREEDOM INCOME,Contributions,326.62,29.774
3/17/2020,FID FREEDOM 2035,Contributions,326.63,27.775
3/17/2020,FID 500 INDEX,Contributions,326.62,3.709
3/6/2020,FID FREEDOM INCOME,Dividend,0.92,0.078
3/3/2020,MM BLUE CHIP GR I,Contributions,133.34,5.851
3/3/2020,J H ENTERPRISE IS,Contributions,133.33,1.675
3/3/2020,FID FREEDOM INCOME,Contributions,133.33,11.328
3/3/2020,FID FREEDOM 2035,Contributions,133.34,9.43
3/3/2020,FID 500 INDEX,Contributions,133.33,1.276
2/18/2020,MM BLUE CHIP GR I,Contributions,133.34,5.245
2/18/2020,J H ENTERPRISE IS,Contributions,133.33,1.498
2/18/2020,FID FREEDOM INCOME,Contributions,133.33,11.242
2/18/2020,FID FREEDOM 2035,Contributions,133.34,8.704
2/18/2020,FID 500 INDEX,Contributions,133.33,1.138
2/7/2020,FID FREEDOM INCOME,Dividend,0.72,0.061
1/31/2020,MM BLUE CHIP GR I,Contributions,133.34,5.574
1/31/2020,J H ENTERPRISE IS,Contributions,133.33,1.553
1/31/2020,FID FREEDOM INCOME,Contributions,133.33,11.328
1/31/2020,FID FREEDOM 2035,Contributions,133.34,8.979
1/31/2020,FID 500 INDEX,Contributions,133.33,1.191
1/21/2020,MM BLUE CHIP GR I,Contributions,133.34,5.42
1/21/2020,J H ENTERPRISE IS,Contributions,133.33,1.505
1/21/2020,FID FREEDOM INCOME,Contributions,133.33,11.29
1/21/2020,FID FREEDOM 2035,Contributions,133.34,8.692
1/21/2020,FID 500 INDEX,Contributions,133.33,1.157
12/31/2019,MM BLUE CHIP GR I,Contributions,133.34,5.669
12/31/2019,J H ENTERPRISE IS,Contributions,133.33,1.56
12/31/2019,FID FREEDOM INCOME,Contributions,133.33,11.376
12/31/2019,FID FREEDOM 2035,Contributions,133.34,8.83
12/31/2019,FID 500 INDEX,Contributions,133.33,1.19
12/30/2019,FID FREEDOM INCOME,Dividend,8.86,0.756
12/30/2019,FID FREEDOM 2035,Dividend,80.27,5.326
12/17/2019,MM BLUE CHIP GR I,Contributions,133.34,5.75
12/17/2019,J H ENTERPRISE IS,Contributions,133.33,1.574
12/17/2019,FID FREEDOM INCOME,Contributions,133.33,11.214
12/17/2019,FID FREEDOM 2035,Contributions,133.34,8.642
12/17/2019,FID 500 INDEX,Contributions,133.33,1.205
12/16/2019,MM BLUE CHIP GR I,Dividend,22.89,0.987
12/13/2019,FID 500 INDEX,Dividend,2.78,0.026
12/9/2019,J H ENTERPRISE IS,Dividend,0.33,0.004
